utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/4204/4204-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 28302 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28311 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28286 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 38220 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 44081 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 44084 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 46270 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 46470 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 46601 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 46602 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 60074 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 60203 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 60414 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 60169 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 60501 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 60520 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61014 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61025 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61027 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61028 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61074 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61212 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61224 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61228 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61234 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61108 has multiple (10) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61115 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61127 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61196 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61501 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61575 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61720 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61723 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61724 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61728 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61800 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61933: No priority spelling found for lang = no, using alt_name to get "[('no', 'Nordre Vassøy')]"
utility_to_osm - WARNING - ssr:stedsnr = 61811 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61826 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 242142 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 242152 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 242448 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 242457 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 242808 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243002 has multiple (7) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 243012: Adding multiple names to name tag, this is not OK! name = "Jærnesskogen;Gjernesheia"
utility_to_osm - WARNING - ssr:stedsnr = 243012 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243014 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243016 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243032 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243070 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243092 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243118 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243197 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243203 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243207 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243224 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243225 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243271 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243172 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243175 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243176 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243309 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243316 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243323 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243324 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243331 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243368 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243403 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243767 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243730 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243843 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243853 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243914 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243973: No priority spelling found for lang = no, using alt_name to get "[('no', 'Salthaug')]"
utility_to_osm - WARNING - ssr:stedsnr = 243978 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243928 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 82196 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 84386 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 84407 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85027 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85888 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85897 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85903 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85913 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85915 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 86402 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 89117 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 89305 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 89314 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 89331 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 89336 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 89226 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 89408 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 93977 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 93978 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 99411 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 99585 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 99824 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 105228: No priority spelling found for lang = no, using alt_name to get "[('no', 'Nodeholmen')]"
utility_to_osm - WARNING - ssr:stedsnr = 106027 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 117627: No priority spelling found for lang = no, using alt_name to get "[('no', 'Kallholmen')]"
utility_to_osm - WARNING - ssr:stedsnr = 121019 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121023 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121026 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121064 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121176 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121191 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121193 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121305 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121306 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121320 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121327 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121365 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121218 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121276 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121504 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121519 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121578 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121581 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121582 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121717 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121603 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121809 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121820 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121829 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 121981 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 142178 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 142180: No priority spelling found for lang = no, using alt_name to get "[('no', 'Lonetjønna')]"
utility_to_osm - WARNING - ssr:stedsnr = 145024 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 146308 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149106 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149114 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149117 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149118 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149119 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149121 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149209 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149358 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149366 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 152811 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 158256 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 159056 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 159457 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 166917 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 167305 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 167377 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 168174 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182104 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182107 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182126 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182146 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182147 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182149 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182156 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182158 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182161 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182164 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182307 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182314 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182200 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182438 has multiple (8) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182448 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182450 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182453 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182456 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182473 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182510 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182525 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182539 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182803 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182815 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182845 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182846 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182863 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182926 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 264922 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 266421 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267026 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267028 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267382 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267390 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267392 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267916 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267917 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267920 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267923 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 268368 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 206903 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210010 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210103 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210122 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210129 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210141 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210242 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210264 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210268 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210283 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210285 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210294 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210402 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210407 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210314 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210318 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210324 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210330 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210393 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 216105 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 220811 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271001 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271004 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271009 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 222590 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271091 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271110 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271147 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271251 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271263 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271199 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271201 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271297 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271345 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271414 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 226401. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 227488 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 227993 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 228793 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 228995: Adding multiple names to name tag, this is not OK! name = "Domkirken;Kristiansand domkirke"
utility_to_osm - WARNING - ssr:stedsnr = 449401 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 449831 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 449856 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 449860 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 450329 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 242496 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453289 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243500 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243609 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243597 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243743 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243835 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243984 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453083 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453139 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453098 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453100 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453101 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453176 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453178 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453153 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453326 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453340 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 453361 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 264310 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 264349 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 264999 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 266398 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267005 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267009 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267899 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267906 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271204 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271206 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271158 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271187 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271303 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271308 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271315 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271323 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271436 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271478 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271483 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271502 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 459192 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 281184 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 281490 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 281824 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 461233 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 288134 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 289228 has multiple (2) positions, using the first one!
